
 displacements (vx,vy,vz) for set NALL and time  0.1000000E-02
         2   3 -9.857143E-07 -4.361801E-15 -4.668372E-15  1.736758E-15 -1.018289E-15 -5.149169E-17
         2   4 -9.857143E-07 -4.596564E-15 -4.343354E-15  2.316453E-16  7.633803E-17 -2.485720E-17
         2   5 -9.857142E-07 -1.406111E-15 -1.647957E-15 -3.147854E-17  6.227246E-16  6.250595E-17
         2   6 -9.857142E-07 -1.433326E-15 -1.138120E-15 -3.051353E-16  1.512109E-15  1.007951E-17
         2   7 -9.857143E-07 -2.573090E-15 -2.728967E-15 -1.174795E-16  1.379525E-15  8.686669E-18
         2   8 -9.857143E-07 -2.650637E-15 -2.336570E-15 -1.174795E-16  5.585542E-16 -1.165479E-17
         3   1 -9.857142E-07 -4.445311E-16 -1.616095E-15  7.754130E-16  2.727768E-15 -3.113602E-16
         3   2 -9.857143E-07 -3.522674E-15 -2.984365E-15 -1.140185E-15 -8.297705E-16  3.991487E-16
         3   3 -9.857142E-07  3.243751E-15  2.064073E-15 -9.669658E-17  1.631170E-16 -1.156333E-15
         3   4 -9.857142E-07  6.688427E-16  1.870018E-15  2.366215E-15 -1.478824E-15  1.025636E-15
         3   5 -9.857142E-07 -8.905296E-16  3.038293E-16 -3.943694E-15  5.144711E-16 -3.170397E-16
         3   6 -9.857142E-07  3.241482E-15  2.025625E-15 -1.207127E-15  1.609098E-15  8.631555E-16
         3   7 -9.857143E-07 -6.643407E-15 -5.457162E-15 -2.755760E-15  6.087609E-16 -1.162012E-15
         3   8 -9.857143E-07 -2.008160E-15 -2.561150E-15 -1.113819E-15 -2.127807E-15  1.489643E-15

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.5750000E-02

         1   1 -4.693877E-12  1.408163E-12  1.408163E-12 -1.262177E-28 -1.893266E-28  7.573065E-29
         1   2 -4.693877E-12  1.408163E-12  1.408163E-12 -2.019484E-28 -1.186447E-27 -1.262177E-29
         1   3 -4.693877E-12  1.408163E-12  1.408163E-12 -3.281661E-28  9.242230E-40  2.524355E-28
         1   4 -4.693877E-12  1.408163E-12  1.408163E-12 -4.038968E-28 -4.543839E-28  6.310887E-29
         1   5 -4.693877E-12  1.408163E-12  1.408163E-12  7.573065E-29  2.398137E-28 -2.524355E-29
         1   6 -4.693877E-12  1.408163E-12  1.408163E-12  7.320629E-28 -7.573065E-28 -3.786532E-29
         1   7 -4.693877E-12  1.408163E-12  1.408163E-12 -2.524355E-28  4.543839E-28  2.019484E-28
         1   8 -4.693877E-12  1.408163E-12  1.408163E-12  4.038968E-28  3.696892E-39  3.786532E-29
         2   1 -4.693877E-12  1.408163E-12  1.408163E-12  1.156181E-20  2.273076E-21  1.440889E-23
         2   2 -4.693877E-12  1.408163E-12  1.408163E-12  1.397418E-21  9.049340E-21 -1.933219E-23
         2   3 -4.693877E-12  1.408163E-12  1.408163E-12  1.075136E-20 -6.303695E-21 -3.187581E-22
         2   4 -4.693877E-12  1.408163E-12  1.408163E-12  1.433995E-21  4.725688E-22 -1.538779E-22
         2   5 -4.693877E-12  1.408163E-12  1.408163E-12 -1.948671E-22  3.854962E-21  3.869416E-22
         2   6 -4.693877E-12  1.408163E-12  1.408163E-12 -1.888933E-21  9.360676E-21  6.239698E-23
         2   7 -4.693877E-12  1.408163E-12  1.408163E-12 -7.272540E-22  8.539914E-21  5.377462E-23
         2   8 -4.693877E-12  1.408163E-12  1.408163E-12 -7.272540E-22  3.457717E-21 -7.214869E-23
         3   1 -4.693877E-12  1.408163E-12  1.408163E-12  4.800175E-21  1.688618E-20 -1.927468E-21
         3   2 -4.693877E-12  1.408163E-12  1.408163E-12 -7.058286E-21 -5.136675E-21  2.470920E-21
         3   3 -4.693877E-12  1.408163E-12  1.408163E-12 -5.985979E-22  1.009772E-21 -7.158250E-21
         3   4 -4.693877E-12  1.408163E-12  1.408163E-12  1.464800E-20 -9.154624E-21  6.349177E-21
         3   5 -4.693877E-12  1.408163E-12  1.408163E-12 -2.441335E-20  3.184821E-21 -1.962627E-21
