
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01
        23 -1.333333E+01  1.982735E+00  2.775830E+00
        24 -2.000000E+01  1.982735E+00  2.775830E+00
        25  0.000000E+00  3.965471E+00  2.775830E+00
        26 -6.666667E+00  3.965471E+00  2.775830E+00
        27 -1.333333E+01  3.965471E+00  2.775830E+00
        28 -2.000000E+01  3.965471E+00  2.775830E+00
        29  0.000000E+00  5.948206E+00  2.775830E+00
        30 -6.666667E+00  5.948206E+00  2.775830E+00
        31 -1.333333E+01  5.948206E+00  2.775830E+00
        32 -2.000000E+01  5.948206E+00  2.775830E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.1000000E+00

         1   1 -2.722613E+03 -4.608926E-13 -4.608926E-13 -2.596668E-14  3.442452E-14 -4.455275E-15
         1   2 -2.722613E+03 -2.304463E-13 -2.304463E-13  8.457842E-15  1.204858E-13 -1.113819E-14
         1   3 -2.722613E+03 -2.304463E-13 -2.304463E-13 -5.931509E-16  2.596668E-14 -8.910551E-15
         1   4 -2.722613E+03  2.304463E-13  2.304463E-13  3.383137E-14  1.292402E-13 -7.128440E-14
         1   5 -2.722613E+03 -2.304463E-13  1.168100E-32 -3.442452E-14  1.750884E-14  2.227638E-14
         1   6 -2.722613E+03 -2.304463E-13 -4.106166E-32 -4.232022E-32  1.035701E-13 -2.004874E-14
         1   7 -2.722613E+03 -4.608926E-13 -4.608926E-13 -3.442452E-14 -3.323822E-14  6.105458E-32
         1   8 -2.722613E+03 -4.608926E-13 -4.608926E-13 -6.067494E-32  1.186302E-15 -8.019496E-14
         2   1 -2.722613E+03 -4.608926E-13 -4.608926E-13  2.385222E-14  2.412682E-13  1.002670E-31
         2   2 -2.722613E+03 -6.913389E-13 -6.913389E-13 -1.966173E-15  2.498743E-13 -1.782110E-14
         2   3 -2.722613E+03 -6.913389E-13 -6.913389E-13  2.655983E-14 -2.375765E-32 -7.128440E-14
         2   4 -2.722613E+03 -6.913389E-13 -6.913389E-13  1.556518E-13  2.409716E-13 -4.009748E-14
         2   5 -2.722613E+03 -4.608926E-13 -4.608926E-13 -8.457842E-15  2.077334E-13 -4.900803E-14
